service_request_number;reported_date;parcel_id;parid_key;location;standardized_address;service_request_summary;category;service_request_status;resolution_code;definition;follow_up_date;service_request_type;target_block;area;postal_code;lat;lon;last_edited_date;vacant;geopoint;neighborhood
5453426;2021-09-29;090060  00023;09006000000230;3980 MCWEENY AVE;3980 McWeeny Ave, Memphis, Tennessee, 38128;HIGH GRASS;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-13;CE-Weeds Occupied Property;17.0;01-001;38128.0;35.23365285;-89.93087599;2022-02-23;N;35.23365285, -89.93087599;Egypt
5533532;2021-12-22;076143  00003;07614300000030;;37 W Holmes Rd, Memphis, Tennessee, 38109;CE-Junky Yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-31;CE-Junky Yard;175.0;06-005;38109.0;35.00548352;-90.06492758;2022-04-22;;35.00548352, -90.06492758;Acklena
5261666;2021-05-17;085007 D00010;0850070D000100;3394 LESCHALLAS DR;3394 Leschallas Dr, Memphis, Tennessee, 38128;Occupied home tall grass in the front yard;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-16;CE-Weeds Occupied Property;19.0;01-002;38128.0;35.21834741;-89.91894709;2022-02-23;N;35.21834741, -89.91894709;Raleigh
6009670;2022-12-27;076114  00007;07611400000070;4958 SHAYNE LN;4958 Shayne Ln, Memphis, Tennessee, 38109;In Compliance with a court order as of 2/16/2024 @ 9:00AM. junk in front yard;Inspection-Junky Yard;Closed;DISM;Case dismissed         Need further discussion;2023-06-16;CE-Junky Yard;176.0;06-005;38109.0;35.01349256;-90.04348401;2024-03-18;N;35.01349256, -90.04348401;Whitehaven
4918110;2020-11-06;050007  00025;05000700000250;228 HOLLAND AVE;228 Holland Ave, Memphis, Tennessee, 38109;OPEN STORAGE OF WOOD AND BUILDING MATERIAL UNDER CARPORT, OVERGROWTH OF SHRUBBERY AND TREES;Inspection-Junky Yard;Closed;CVOID;Closed Void;2021-01-28;CE-Junky Yard;129.0;06-004;38109.0;35.09282362;-90.07038896;2022-02-23;N;35.09282362, -90.07038896;Mallory
6008608;2022-12-22;042005  00044;04200500000440;1594 MAPLEWOOD ST;1594 Maplewood St, Memphis, Tennessee, 38108;In Compliance (Court Order) on 11/17/2023. Junky YARD;Inspection-Junky Yard;Closed;DISM;Case dismissed         Need further discussion;2023-05-26;CE-Junky Yard;39.0;07-005;38108.0;35.17966992;-89.97844356;2024-03-06;N;35.17966992, -89.97844356;Hollywood
5408750;2021-08-26;045091  00033;04509100000330;3169 JOFFRE AVE;3169 Joffre Ave, Memphis, Tennessee, 38111;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-16;CE-Weeds Occupied Property;78.0;05-003;38111.0;35.12656836;-89.9563427;2022-02-23;N;35.12656836, -89.9563427;Chickasaw Gardens
6140094;2023-04-05;070047  00007;07004700000070;1522 ROLLING HILLS AVE;1522 Rolling Hills Dr, Memphis, Tennessee, 38127;junky yard front and back yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-24;CE-Junky Yard;9.0;07-007;38127.0;35.21722932;-90.01305125;2023-12-26;N;35.21722932, -90.01305125;Frayser
5691126;2022-05-09;021110  00018;02111000000180;817 RANDLE ST;817 Randle St, Memphis, Tennessee, 38107;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-05;CE-Junky Yard;36.0;07-004;38107.0;35.16085149;-90.01250348;2023-09-22;N;35.16085149, -90.01250348;Speedway Terrace
5774116;2022-07-01;093417 G00044;0934170G000440;3826 CLARKE RD;3826 Clarke Rd, Memphis, Tennessee, 38115;SQ203 HIGH GRASS;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-30;CE-Weeds Occupied Property;203.0;03-004;38115.0;35.04430667;-89.8753291;2023-01-19;N;35.04430667, -89.8753291;Hickory Hill
5130656;2021-03-31;035069  00010;03506900000100;1537 MONSARRAT ST;1537 Monsarrat St, Memphis, Tennessee, 38109;JUNKY YARD, INOPERABLE VEHICLE, TRAILERS ON GRASS;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-14;CE-Junky Yard;127.0;06-004;38109.0;35.1056017;-90.0664868;2022-02-23;N;35.1056017, -90.0664868;Mallory
4659608;2020-05-21;059011  00107;05901100001070;1672 PENDLETON ST;1672 Pendleton St, Memphis, Tennessee, 38114;junky in the backyard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-14;CE-Junky Yard;142.0;04-007;38114.0;35.09928218;-89.96954488;2022-02-23;N;35.09928218, -89.96954488;Orange Mound
5303638;2021-06-14;045112  00003;04511200000030;3267 CARNES AVE;3267 Carnes Ave, Memphis, Tennessee, 38111;Occupied property with tall grass in the back.;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-22;CE-Weeds Occupied Property;104.0;05-003;38111.0;35.11139923;-89.95345486;2024-02-03;N;35.11139923, -89.95345486;Orange Mound
5449164;2021-09-25;075145  00058;07514500000580;4316 WANATAH ST;4316 Wanatah St, Memphis, Tennessee, 38109;Illegally Storing of Vehicles, Parked in Grass and Weeds.;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-11;CE-Junky Yard;163.0;06-002;38109.0;35.03075985;-90.08536076;2022-02-23;N;35.03075985, -90.08536076;Westwood
5663678;2022-04-25;036005  00022;03600500000220;1490 FAXON AVE;1490 Faxon Ave, Memphis, Tennessee, 38104;OVERGROWN REVERSE FRONTAGE;Weeds;Closed;CVOID;Closed Void;2022-08-27;CE-Weeds Occupied Property;57.0;07-005;38112.0;35.15500373;-90.00905488;2022-10-08;N;35.15500373, -90.00905488;Crosstown
5542122;2022-01-04;045035  00014;04503500000140;2920 SPOTTSWOOD AVE;2920 Spottswood Ave, Memphis, Tennessee, 38111;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-04;CE-Junky Yard;103.0;04-003;38111.0;35.11375724;-89.965049;2022-02-23;N;35.11375724, -89.965049;Buntyn
5409538;2021-08-26;031130  00018;03113000000180;2054 EVELYN AVE;2054 Evelyn Ave, Memphis, Tennessee, 38104;High Grass -S.H.C.;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-28;CE-Weeds Occupied Property;82.0;04-006;38114.0;35.12310838;-89.99370573;2022-02-23;N;35.12310838, -89.99370573;Lenox
5633982;2022-04-01;072003  00036;07200300000360;1959 BURNHAM AVE;1959 Burnham Ave, Memphis, Tennessee, 38127;junky yard;Inspection-Junky Yard;Back to MCSC;BACK TO MCSC;Back To MCSC;2022-04-16;CE-Junky Yard;6.0;07-007;38127.0;35.22602069;-89.99830363;2022-10-05;N;35.22602069, -89.99830363;Frayser
6135730;2023-03-31;070044 00001;07004400000010;1473 PAULLUS AV;1473 Paullus Ave, Memphis, Tennessee, 38127;Trash and debris front;Inspection-Junky Yard;Closed;CVOAR;Incompliance Violation order to move auto - Auto removed;2023-04-17;CE-Junky Yard;9.0;07-007;38127.0;35.21581949;-90.01474762;2023-08-29;N;35.21581949, -90.01474762;Frayser
5136704;2021-04-01;054038  00039;05403800000390;734 WARING RD;4360 Tutwiler Ave, Memphis, Tennessee, 38122;INOPERABLE VEHICLE AND PARKING ON GRASS;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-22;CE-Junky Yard;49.0;05-004;38122.0;35.15157652;-89.91555924;2022-02-23;N;35.15157652, -89.91555924;Berclair
5461898;2021-10-06;044013  00029;04401300000290;3204 WALNUT GROVE RD;3204 Walnut Grove Rd, Memphis, Tennessee, 38111;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-11-22;CE-Weeds Occupied Property;65.0;05-002;38111.0;35.13387978;-89.9548676;2022-02-23;N;35.13387978, -89.9548676;Chickasaw Gardens
5313124;2021-06-21;088036  00003;08803600000030;4220 WALES;4220 Wales Ave, Memphis, Tennessee, 38128;Backyard junk- Behind the house. Debris can't be seen from the street;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-24;CE-Junky Yard;45.0;01-002;38128.0;35.1854002;-89.92022488;2024-02-03;N;35.1854002, -89.92022488;Wells
4782884;2020-08-05;047079  00028;04707900000280;2758 BROWNING AVE;2758 Browning Ave, Memphis, Tennessee, 38114;Occupied property with Weeds and High Grass.;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-15;CE-Weeds Occupied Property;;04-007;38114.0;35.09332192;-89.97097159;2022-02-23;N;35.09332192, -89.97097159;Bellevue
5745728;2022-06-14;045119  00027;04511900000270;3412 SPOTTSWOOD AVE;3412 Spottswood Ave, Memphis, Tennessee, 38111;OCCUPIED HOUSE HIGH WEEDS AND TRASH BACKYARD;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-16;CE-Weeds Occupied Property;104.0;05-003;38111.0;35.11346589;-89.94839706;2023-03-20;N;35.11346589, -89.94839706;Buntyn
5221232;2021-04-22;073056  00006;07305600000060;2971 CHERRY RD;2971 Cherry Rd, Memphis, Tennessee, 38118;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Weeds Occupied Property;193.0;04-005;38118.0;35.06775736;-89.91835329;2022-02-23;N;35.06775736, -89.91835329;Parkway Village
5745538;2022-06-14;077042  00051;07704200000510;733 CRESCENT AVE;733 Crescent Ave, Memphis, Tennessee, 38116;CE-Weeds Occupied Property;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-08;CE-Weeds Occupied Property;167.0;06-005;38116.0;35.02920281;-90.03938613;2022-07-18;N;35.02920281, -90.03938613;Whitehaven
5329382;2021-07-01;001098  00003;00109800000030;609 BETHEL AVE;609 Bethel Ave, Memphis, Tennessee, 38107;behind  this property its alley way that needs to be cut;Weeds;Closed;BACK TO MCSC;Back To MCSC;2021-07-08;CE-Weeds Occupied Property;32.0;07-003;38107.0;35.16203062;-90.03766519;2022-02-23;N;35.16203062, -90.03766519;Harbor Town
5471690;2021-10-14;042018  00019;04201800000190;2424 HUBBARD AVE;2424 Hubbard Ave, Memphis, Tennessee, 38108;Backyard  junk towards the end of the rear property line under the trees;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-25;CE-Junky Yard;40.0;07-005;38108.0;35.17394254;-89.97630443;2023-06-20;N;35.17394254, -89.97630443;Hollywood
6143958;2023-04-10;047063  00007;04706300000070;1509 HUGENOT ST;1509 Hugenot St, Memphis, Tennessee, 38114;Empty lot next to 1509, has numerous of cars and trees on the lot & a lot of debri 901-650-8829;Weeds;Closed;CVOAR;Incompliance Violation order to move auto - Auto removed;2023-08-29;CE-Weeds Occupied Property;115.0;04-003;38114.0;35.10410377;-89.97710333;2023-08-29;N;35.10410377, -89.97710333;Orange Mound
5122430;2021-03-28;082039  00026;08203900000260;4500 DOUBLE TREE ST;4500 Double Tree Rd, Memphis, Tennessee, 38109;Weeds Occupied House;Weeds;Closed;BACK TO MCSC;Back To MCSC;2021-04-05;CE-Weeds Occupied Property;171.0;06-002;38109.0;35.02578418;-90.10310656;2022-02-23;N;35.02578418, -90.10310656;Westwood
5761254;2022-06-23;077083 C00007;0770830C000070;5310 DUELLING OAKS DR;5310 Duelling Oaks, Memphis, Tennessee, 38116;ENTIRE PROPERTY NEEDS CUTTING;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-08;CE-Weeds Occupied Property;178.0;03-001;38116.0;35.00355381;-90.03320548;2023-01-19;N;35.00355381, -90.03320548;Scaife
5775666;2022-07-05;063026  00008;06302600000080;4693 TUTWILER AVE;4693 Tutwiler Ave, Memphis, Tennessee, 38122;CE-Weeds Occupied Property;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-26;CE-Weeds Occupied Property;48.0;05-005;38122.0;35.15018587;-89.90433773;2022-08-31;N;35.15018587, -89.90433773;Berclair
5303742;2021-06-14;076068  00040;07606800000400;4454 TULANE RD;4454 Tulane Rd, Memphis, Tennessee, 38109;OCCUPIED PROPERTY W/HIGH GRASS AND WEEDS;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-06;CE-Weeds Occupied Property;168.0;06-005;38109.0;35.02720994;-90.04332372;2022-02-23;N;35.02720994, -90.04332372;Whitehaven
5431534;2021-09-13;077029  00014;07702900000140;4074 MICHAEL RD;4074 Michael Rd, Memphis, Tennessee, 38116;AC UNITS IN FRT YARD;Inspection-Junky Yard;Resolved;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-15;CE-Junky Yard;166.0;06-005;38116.0;35.03748821;-90.0315433;2022-10-24;N;35.03748821, -90.0315433;Whitehaven
5936702;2022-10-14;076054  00008;07605400000080;4375 ALICE DR;4375 Alice Dr, Memphis, Tennessee, 38109;COURT DATE 5/17/2023 @ 9:00AM. junky yard;Inspection-Junky Yard;Closed;DISM;Case dismissed         Need further discussion;2023-04-19;CE-Junky Yard;168.0;06-005;38109.0;35.02928187;-90.04647738;2023-04-18;Y;35.02928187, -90.04647738;Raines
5445240;2021-09-22;067010  00011;06701000000110;5108 DEE RD;5108 Dee Rd, Memphis, Tennessee, 38117;2 huge tree limbs have been in front yard for awhileHouse is occupied;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-08;CE-Junky Yard;109.0;05-005;38117.0;35.10034416;-89.89164899;2022-02-23;N;35.10034416, -89.89164899;Brookfield
5520302;2021-12-09;067059  00004;06705900000040;5205 WELCHSHIRE AVE;5205 Welchshire Ave, Memphis, Tennessee, 38117;Backyard near near property line- inoperable vehicles parked on the grass ( south side);Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-31;CE-Junky Yard;109.0;05-005;38117.0;35.10295632;-89.88842927;2022-02-23;N;35.10295632, -89.88842927;Brookfield
5394380;2021-08-17;074001  00104;07400100001040;4814 JUDY LYNN AVE;4814 Judy Lynn Ave, Memphis, Tennessee, 38118;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Junky Yard;194.0;04-005;38118.0;35.07201841;-89.90285712;2023-01-19;N;35.07201841, -89.90285712;Parkway Village
5221178;2021-04-22;073059  00020;07305900000200;4368 ALOHA AVE;4368 Aloha Ave, Memphis, Tennessee, 38118;Junky yard and debris.;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Junky Yard;193.0;04-005;38118.0;35.065664;-89.91779424;2022-02-23;N;35.065664, -89.91779424;Parkway Village
5370602;2021-07-30;045019  00006;04501900000060;333 HODGES ST;333 Hodges St, Memphis, Tennessee, 38111;Occupied home, overgrown grass and weeds front and back;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-16;CE-Weeds Occupied Property;80.0;05-003;38111.0;35.12304416;-89.9727727;2024-02-03;N;35.12304416, -89.9727727;Buntyn
5448456;2021-09-24;086011  00008;08601100000080;4233 GENYTH AVE;4233 Genyth Ave, Memphis, Tennessee, 38128;HIGH GRASS;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-07;CE-Weeds Occupied Property;17.0;01-002;38128.0;35.23037353;-89.92226787;2022-02-23;N;35.23037353, -89.92226787;Egypt
5772290;2022-07-01;086014  00014;08601400000140;4446 YALE RD;4446 Yale Rd, Memphis, Tennessee, 38128;Weeds Occupied House;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-15;CE-Weeds Occupied Property;18.0;01-002;38128.0;35.2220703;-89.91512238;2022-12-09;N;35.2220703, -89.91512238;Raleigh
5333586;2021-07-06;048005  00029;04800500000290;1468 S MONTGOMERY ST;1468 S Montgomery St, Memphis, Tennessee, 38106;occ house  high grass and weeds;Weeds;Closed;BACK TO MCSC;Back To MCSC;2021-07-13;CE-Weeds Occupied Property;117.0;04-002;38106.0;35.1064246;-90.01941024;2022-02-23;N;35.1064246, -90.01941024;South Memphis
5316356;2021-06-22;042057  00013;04205700000130;1314 BRYAN ST;1314 Bryan St, Memphis, Tennessee, 38108;VOYC- PROPERTY HAS SEVERAL MOTORS IN THE DRIVEWAY CAR PARTS AND DEBRIS SCATTERED AROUND THE PROPERTY. FOLLOW-UP 7.8.21.;Inspection-Junky Yard;Closed;CO;Closed, Other;2021-07-08;CE-Junky Yard;40.0;07-005;38108.0;35.17186763;-89.97397471;2022-02-23;N;35.17186763, -89.97397471;Hollywood
5642714;2022-04-10;082008  00051;08200800000510;3446 COOK RD;3446 Cook Rd, Memphis, Tennessee, 38109;COURT DATE 03/10/2023 @ 9:00AM. CHATTELS ON PORCH AND INOPERABLE VEHICLE;Inspection-Junky Yard;Closed;DISM;Case dismissed         Need further discussion;2023-02-03;CE-Junky Yard;161.0;06-003;38109.0;35.05461646;-90.10981412;2023-03-09;N;35.05461646, -90.10981412;White Chapel
5277322;2021-05-26;074016  00001;07401600000010;3176 BOXDALE ST;3176 Boxdale St, Memphis, Tennessee, 38118;high grass and weeds in front yard, garbage and trash in yard;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Weeds Occupied Property;194.0;04-005;38118.0;35.06204803;-89.90332591;2022-02-23;N;35.06204803, -89.90332591;Parkway Village
5762134;2022-06-24;090002  00055;09000200000550;4785 ROYAL ELM COVE;4785 Royal Elm Cv, Memphis, Tennessee, 38128;CE-Weeds Occupied Property;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-11;CE-Weeds Occupied Property;15.0;01-001;38128.0;35.25670422;-89.94046124;2022-08-18;N;35.25670422, -89.94046124;Egypt
5498888;2021-11-12;067022  00012;06702200000120;1349 S.WhiteStation rd;1349 S White Station Rd, Memphis, Tennessee, 38117;COURT DATE 6/2/2022 @ 1:30PM. CE-Junky Yard;Inspection-Junky Yard;Closed;DISM;Case dismissed         Need further discussion;2022-04-07;CE-Junky Yard;109.0;05-005;38117.0;35.09468082;-89.89028392;2022-06-27;N;35.09468082, -89.89028392;East Memphis
5143612;2021-04-03;063003  00035;06300300000350;946 BERCLAIR RD;946 Berclair Rd, Memphis, Tennessee, 38122;Weeds Occupied House;Weeds;Closed;NJ;Case not justified;2021-04-11;CE-Weeds Occupied Property;49.0;05-004;38122.0;35.15716502;-89.91112137;2022-02-23;N;35.15716502, -89.91112137;Berclair
5092176;2021-03-12;093510 O00139;0935100O001390;6335 BENT OAK LN;6335 Bent Oak Ln, Memphis, Tennessee, 38115;There is a lot of trash, weeds,etc and house seems un lived in unkept;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-08;CE-Junky Yard;204.0;03-004;38115.0;35.04013162;-89.85197404;2022-02-23;N;35.04013162, -89.85197404;Hickory Hill
5761176;2022-06-23;025044  00009;02504400000090;1173 RACE ST;1173 Race St, Memphis, Tennessee, 38106;junky front yard/.furntiure and trash;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-11;CE-Junky Yard;95.0;06-006;38126.0;35.11500755;-90.03738832;2023-02-24;N;35.11500755, -90.03738832;South Memphis
5544672;2022-01-06;073063  00068;07306300000680;3020 CAPRI ST;3020 Capri Rd, Memphis, Tennessee, 38118;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-20;CE-Junky Yard;193.0;04-005;38118.0;35.06644989;-89.91461574;2023-01-19;N;35.06644989, -89.91461574;Parkway Village
5721548;2022-05-29;030001  00018;03000100000180;683 ROZELLE ST;683 Rozelle St, Memphis, Tennessee, 38104;Weeds Occupied House;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-12-07;CE-Weeds Occupied Property;84.0;05-001;38104.0;35.12751582;-90.00723048;2022-12-07;N;35.12751582, -90.00723048;Rosemary Lane
5447038;2021-09-23;067094  00011;06709400000110;5590 TIMMONS AVE;5590 Timmons Ave, Memphis, Tennessee, 38119;COUCH IN THE FRONT YARD, POOL IN THE BACKYARD CAUSING BREEDING GROUNDS FOR MOSQUITOES.;Inspection-Junky Yard;Closed;CVOID;Closed Void;2021-10-18;CE-Junky Yard;153.0;02-002;38119.0;35.08888074;-89.87530799;2022-02-23;N;35.08888074, -89.87530799;Brookfield
5758168;2022-06-22;049059  00012;04905900000120;685E GAGE AVE;685 E Gage Ave, Memphis, Tennessee, 38106;High weeds;Weeds;Closed;CVOID;Closed Void;2022-07-06;CE-Weeds Occupied Property;133.0;06-007;38106.0;35.08695828;-90.04011552;2022-06-23;N;35.08695828, -90.04011552;South Memphis
5921232;2022-09-30;074013  00001;07401300000010;3032 BOXDALE ST;3032 Boxdale St, Memphis, Tennessee, 38118;INOPERABLE VEHICLE IN YARD AND CHATTELS;Inspection-Junky Yard;Closed;CVOID;Closed Void;2023-05-27;CE-Junky Yard;194.0;04-005;38118.0;35.06622604;-89.90412158;2023-11-27;N;35.06622604, -89.90412158;Parkway Village
5902238;2022-09-15;063027  00018;06302700000180;731 AVON RD;731 Avon Rd, Memphis, Tennessee, 38122;COURT DATE 6/12/2024 @ 9AM . junky yard front and back;Inspection-Junky Yard;Pending Litigation;CTCNT;Court case continued;2023-06-16;CE-Junky Yard;48.0;05-005;38122.0;35.15117327;-89.90226281;2024-05-15;N;35.15117327, -89.90226281;Berclair
6132780;2023-03-29;026004  00004;02600400000040;1115 RYDER AVE;1115 Ryder Ave, Memphis, Tennessee, 38106;APPLIANCES ON FRONT PORCH;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-12;CE-Junky Yard;97.0;06-008;38106.0;35.12087177;-90.02479713;2023-07-14;N;35.12087177, -90.02479713;Annesdale-Snowden
