parid,parid_key,property_address,image_available,capture_date,lat,lng,image_url,downloaded_at,status_code
041043  00034,04104300000340,"Tunica St, Memphis, Tennessee, 38108",TRUE,2023-01,35.1735537,-89.98669166,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.173562966411964,-89.98639236997815&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:11,OK
042010  00021,04201000000210,"Maplewood St, Memphis, Tennessee, 38108",TRUE,2025-03,35.1766555,-89.97888401,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17663410619333,-89.97854890437928&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:11,OK
041044  00056,04104400000560,"Chelsea Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17396373,-89.98724018,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17426607801978,-89.9872688733902&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:12,OK
042068  00015,04206800000150,"2495 Calvert Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17995366,-89.97377457,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.179661440734876,-89.97373188563039&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:12,OK
041055  00007,04105500000070,"2211 Curry Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.18003594,-89.98318881,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17980216231655,-89.98317640024383&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:13,OK
042050  00004,04205000000040,"2473 Dexter Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16819721,-89.97473379,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16795581004463,-89.97477324533551&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:13,OK
041054  00012,04105400000120,"Stovall Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17922769,-89.98242854,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.178988557314106,-89.98241622357632&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:14,OK
041007  00018,04100700000180,"1589 Britton St, Memphis, Tennessee, 38108",TRUE,2022-01,35.17992699,-89.98751419,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17993787878748,-89.98780033669033&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:14,OK
041017 A00012,0410170A000120,"1244 Park Castle Cv, Memphis, Tennessee, 38108",TRUE,2025-03,35.170342,-89.98793317,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17037320659811,-89.98761687012227&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:14,OK
042060  00027,04206000000270,"1460 N Hollywood St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17600303,-89.97540686,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17598789103242,-89.97500465763775&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:15,OK
041052  00030,04105200000300,"2178 Curry Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.18026348,-89.98415164,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.18027157824185,-89.9843152111433&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:15,OK
042051  00027,04205100000270,"2486 Dexter Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16819269,-89.9743939,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16842860549131,-89.97436497463299&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:16,OK
041045  00015,04104500000150,"2138 Chelsea Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17417347,-89.98584213,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17443154067048,-89.98585779862553&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:16,OK
041054  00016,04105400000160,"2252 Lyon Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.1784203,-89.98193354,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.178649921567654,-89.9818832042774&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:16,OK
041014  00038,04101400000380,"1408 May St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17497336,-89.99009761,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17498575473814,-89.98974939496584&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:17,OK
042035  00011,04203500000110,"2327 Hunter Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16963291,-89.97964613,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16941931930781,-89.97967125035723&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:17,OK
042050  00027,04205000000270,"2474 Vandale Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16737552,-89.9747298,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16761225164771,-89.9747798490795&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:18,OK
042063  00040,04206300000400,"1436 Standridge St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17518796,-89.97187962,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17522146951019,-89.97151386479459&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:18,OK
042035  00045,04203500000450,"2424 Shasta Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16882619,-89.97645802,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16902625474788,-89.97646870083874&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:19,OK
042026  00010,04202600000100,"2303 Golden Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17304589,-89.98038553,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17281074694364,-89.98037914088894&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:19,OK
042027  00017,04202700000170,"1312 Lambert St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17198479,-89.98236497,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17211854622458,-89.9823878143392&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:20,OK
041013  00042,04101300000420,"1436 Davis St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17568506,-89.98890691,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17569961833369,-89.98856463578686&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:20,OK
042051  00018,04205100000180,"2522 Dexter Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16817598,-89.97314341,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16841198473612,-89.97316310022758&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:21,OK
041056  00010,04105600000100,"2223 Shannon Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.18082062,-89.98276735,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.1805856590131,-89.98275198835512&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:21,OK
042015  00012,04201500000120,"2356 Chelsea Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17472515,-89.97853953,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.174991511849356,-89.97856451768364&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:21,OK
041054  00027,04105400000270,"2208 Lyon Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17866105,-89.98310667,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17867568559204,-89.98335809318162&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:22,OK
041008  00004C,0410080000004C,"2065 Nedra Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17916102,-89.98816291,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17892400057945,-89.98814972034496&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:22,OK
042032  00058,04203200000580,"2316 Eldridge Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17064178,-89.97987805,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17063354090676,-89.98002472581477&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:23,OK
041066  00010,04106600000100,"2432 Blue Rd, Memphis, Tennessee, 38108",TRUE,2025-03,35.18487175,-89.97582633,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.18509497102626,-89.9760015986656&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:23,OK
041052  00129,04105200001290,"2100 Lyon Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17848997,-89.98692382,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17873077477351,-89.98698586817946&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:23,OK
042020  00020,04202000000200,"2280 Hubbard Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.1738741,-89.98115922,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17409312887456,-89.98113276775605&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:24,OK
041013  00006,04101300000060,"1463 Britton St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17652417,-89.98770948,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17648941604513,-89.98803947576177&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:24,OK
042006  00047,04200600000470,"1610 Harrison St, Memphis, Tennessee, 38108",TRUE,2025-03,35.18010944,-89.97759258,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.18009419861811,-89.97726019382611&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:25,OK
041034  00003,04103400000030,"2115 Howell Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16721836,-89.98677557,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16701938665399,-89.98671419647972&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:25,OK
042065  00007,04206500000070,"2472 Calvert Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17997196,-89.97461482,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.18024919017619,-89.97452945620805&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:26,OK
042007  00010,04200700000100,"1601 N Hollywood St, Memphis, Tennessee, 38108",TRUE,2025-03,35.1797862,-89.97522645,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17983779592609,-89.97558723531934&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:26,OK
041060  00040,04106000000400,"E Belmont Cir, Memphis, Tennessee, 38108",TRUE,2025-03,35.18309078,-89.97884664,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.18305844333561,-89.97846836336578&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:26,OK
042002  00017,04200200000170,"N Trezevant St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17992083,-89.98130074,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17993966059369,-89.98053472936634&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:27,OK
