service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
5020488;2021-01-04;Extreme junky back yard. RV, motorcycle, boat on trailer, utility trailer, parked in backyard on grass. Open storage items in backyard also.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-05;CE-Junky Yard;Parkway Village
6061752;2023-02-07;In Compliance on 8/10/2023 (Court Order). CE-Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-06-07;CE-Junky Yard;Parkway Village
5065226;2021-02-11;Extreme junky back yard.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-30;CE-Junky Yard;Parkway Village
6135660;2023-03-31;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-06-16;CE-Junky Yard;Parkway Village
5470358;2021-10-14;High grass and weeds Front and back yards. Also open storage under carport.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-16;CE-Weeds Occupied Property;Parkway Village
4751662;2020-07-16;CUT HIGH GRASS AND WEEDS AT THE FRONT AND REAR OF THE PROPERTY;Weeds;Closed, Other;2021-02-10;CE-Weeds Occupied Property;Parkway Village
5222148;2021-04-22;HIGH WEEDS GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-09;CE-Weeds Occupied Property;Parkway Village
5763196;2022-06-24;parking on grass/junky yard/high grass;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-08;CE-Junky Yard;Parkway Village
5035658;2021-01-12;REMOVE PALLETS FROM BACKYARD;Inspection-Junky Yard;Incompliance violation order to Building Repaired - BLDG. Repaired;2021-04-09;CE-Junky Yard;Parkway Village
5765136;2022-06-27;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-12;CE-Junky Yard;Parkway Village
4868818;2020-10-01;CUT EXCESSIVE HIGH GRASS AND WEEDS IN THE FRONT AND REAR OF THE PROPERTY AND REMOVE ALL EXTERIOR DEBRIS AND CHATTEL INCLUDING DEBRIS ON THE ROOF OF THE PROPERTY;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-11;CE-Weeds Occupied Property;Parkway Village
5456142;2021-10-01;High grass and weeds in back yard.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-15;CE-Weeds Occupied Property;Parkway Village
5533256;2021-12-22;Junky yard, foul odor coming from the back;Inspection-Junky Yard;Closed, Other;2022-01-28;CE-Junky Yard;Parkway Village
5630750;2022-03-30;Trash in front yard and auto on grass.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-04-14;CE-Junky Yard;Parkway Village
5506646;2021-11-22;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-25;CE-Junky Yard;Parkway Village
5398048;2021-08-19;multiple vehicles, parking on yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-11-15;CE-Junky Yard;Parkway Village
6089644;2023-03-03;Backyard near rear property line  junk /;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-06;CE-Junky Yard;Parkway Village
5098796;2021-03-17;Parking in yard, JUNKY YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-30;CE-Junky Yard;Parkway Village
5099174;2021-03-17;JUNKY CARPORT;Inspection-Junky Yard;Closed Void;2021-07-19;CE-Junky Yard;Parkway Village
4969210;2020-12-07;Inoperable vehicles in front and back yards, open storage and chattels, with high grass and weeds.;Inspection-Junky Yard;Closed Void;2021-01-29;CE-Junky Yard;Parkway Village
5222254;2021-04-22;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-03-08;CE-Junky Yard;Parkway Village
6030934;2023-01-11;Junky front and back yards;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-08;CE-Junky Yard;Parkway Village
6033844;2023-01-12;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-06;CE-Junky Yard;Parkway Village
4994508;2020-12-22;Parking on grass in back yard, open storage and tires.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-19;CE-Junky Yard;Parkway Village
5227412;2021-04-27;Occupied Property -Trash debris, Trailer and Car parts;Inspection-Junky Yard;Closed Void;2021-09-16;CE-Junky Yard;Parkway Village
5309660;2021-06-17;Occ house high weeds and bushes in the backyard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-07;CE-Weeds Occupied Property;Parkway Village
5222244;2021-04-22;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-28;CE-Junky Yard;Parkway Village
5628690;2022-03-29;Backyard near rear property line  inoperable vehicles & junk;Inspection-Junky Yard;Justified, Active already file;2022-04-14;CE-Junky Yard;Parkway Village
5081270;2021-03-03;yard debris in front yard;Inspection-Junky Yard;Closed Void;2021-07-19;CE-Junky Yard;Parkway Village
5327694;2021-06-30;trash and debris on property front and back;Inspection-Junky Yard;Justified, Active already file;2021-07-22;CE-Junky Yard;Parkway Village
5754228;2022-06-18;car park in yard grass,weeds tall in front yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-04;CE-Junky Yard;Parkway Village
5673422;2022-04-27;CE-Weeds Occupied Property;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-11-01;CE-Weeds Occupied Property;Parkway Village
5221120;2021-04-22;high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Weeds Occupied Property;Parkway Village
5092482;2021-03-12;Trash and debris under carport;Inspection-Junky Yard;Closed Void;2021-08-03;CE-Junky Yard;Parkway Village
5034628;2021-01-11;JUNKY CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-06;CE-Junky Yard;Parkway Village
4366386;2020-03-27;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-11;CE-Junky Yard;Parkway Village
5720122;2022-05-27;COURT DATE 5/31/2023 @ 9:00AM. Junky front and back yards with open storage and trailer on grass.;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-04-26;CE-Junky Yard;Parkway Village
5222248;2021-04-22;HIGH GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-25;CE-Weeds Occupied Property;Parkway Village
5361450;2021-08-17;COURT DATE 12/09/2021 @ 1:30PM. OCCUPIED PROPERTY HAS HIGH GRASS AND WEEDS;Weeds;Case dismissed         Need further discussion;2021-10-14;CE-Weeds Occupied Property;Parkway Village
5936814;2022-10-14;junky yard,,PARKING ON YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-06-20;CE-Junky Yard;Parkway Village
5260270;2021-05-17;Overgrown property with high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Weeds Occupied Property;Parkway Village
5328798;2021-07-01;tree limbs are pushing onto the neighbor 3345 shuster;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-21;CE-Weeds Occupied Property;Parkway Village
5204806;2021-04-13;JUNKY YARD, PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Junky Yard;Parkway Village
5265692;2021-05-19;Junky back yard, tires and high grass and weeds.;Inspection-Junky Yard;Closed Void;2021-08-25;CE-Junky Yard;Parkway Village
5975262;2022-11-24;Backyard Dump;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-07;CE-Junky Yard;Parkway Village
5935126;2022-10-13;CE-Junky Yard;Inspection-Junky Yard;No Progress 2 on VO;2023-05-01;CE-Junky Yard;Parkway Village
6280950;2023-07-03;occupied property high weeds and grass;Weeds;Case not justified;2024-05-11;CE-Weeds Occupied Property;Parkway Village
6061742;2023-02-07;Court Date Set  06/14/2024 @ 9:00AM. CE-Junky Yard;Inspection-Junky Yard;Court case continued;2023-06-07;CE-Junky Yard;Parkway Village
4218748;2019-05-06;Court Date set for 01/07/2022 @ 9:00am - occupied property with high grass and weeds;Weeds;Case dismissed         Need further discussion;2021-10-08;CE-Weeds Occupied Property;Parkway Village
5180562;2021-04-08;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Junky Yard;Parkway Village
5933644;2022-10-12;Dismissed on 11/1/2023. CE-Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-07-19;CE-Junky Yard;Parkway Village
5091748;2021-03-12;Two piles of debris in back yard.;Inspection-Junky Yard;Closed Void;2021-04-07;CE-Junky Yard;Parkway Village
5776210;2022-07-05;JUNKY FRONT YARD, FULL OF TRASH;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-21;CE-Junky Yard;Parkway Village
4722946;2020-06-30;REMOVE ALL EXTERIOR DEBRIS FROM THE PROPERTY AND CUT EXCESSIVE HIGH GRASS & WEEDS;Inspection-Vacant Violation;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-20;CE-Vacant Lot Code Violation;Parkway Village
5345276;2021-07-14;residents won't cut grass and have overgrown bushes obstructing drivers;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-13;CE-Junky Yard;Parkway Village
5204568;2021-04-13;High grass and weeds in both yards. Sidewalk and Curbside dirty with trash and debris.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-21;CE-Weeds Occupied Property;Parkway Village
5180354;2021-04-08;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Junky Yard;Parkway Village
6085458;2023-02-28;In Compliance (Court Order) on 10/9/2023.  Weeds, trash, rubbish, and debris with severe overgrowth in backyard.;Weeds;Case dismissed         Need further discussion;2023-05-11;CE-Weeds Occupied Property;Parkway Village
5322916;2021-06-28;occupied property - high grass and weeds / back yard;Weeds;Closed Void;2021-07-14;CE-Weeds Occupied Property;Parkway Village
5353874;2021-07-20;Junkyard cars on the lawn;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-23;CE-Junky Yard;Parkway Village
5114392;2021-03-24;PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-13;CE-Junky Yard;Parkway Village
4971204;2020-12-08;Backyard junk near back door;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Parkway Village
5180412;2021-04-08;HIGH GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Weeds Occupied Property;Parkway Village
5760694;2022-06-23;OCH HIGH GRASS FT/BK;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-08;CE-Weeds Occupied Property;Parkway Village
5099134;2021-03-17;INOPERABLE VEHICLES/  PARKED ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Junky Yard;Parkway Village
5051224;2021-01-28;TREE LIMBS IN BACKYARD;Inspection-Junky Yard;Closed Void;2021-05-12;CE-Junky Yard;Parkway Village
5098788;2021-03-17;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-23;CE-Junky Yard;Parkway Village
4088800;2019-01-24;Court date set for 9/23/2022 @ 9:00 A.M.  JUNKY YARD WITH OLD APPLIANCES AND DEBRIS IN THE YARD;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-08-26;CE-Junky Yard;Parkway Village
5034624;2021-01-11;PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-09;CE-Junky Yard;Parkway Village
4969358;2020-12-07;Junky yards, parking on grass, rubbish, trash, debris and open storage, chattels.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-20;CE-Junky Yard;Parkway Village
5064540;2021-02-10;OVERGROWN WEEDS IN REAR OF PROPERTY;Inspection-Junky Yard;Closed Void;2021-12-28;CE-Junky Yard;Parkway Village
6081146;2023-02-24;Trashy property;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-06;CE-Junky Yard;Parkway Village
5675976;2022-04-28;CE-Junky Yard;Inspection-Junky Yard;Incompliance Violation order to move auto - Auto removed;2022-10-25;CE-Junky Yard;Parkway Village
5222290;2021-04-22;JUNKY YARD REAR APPLIANCE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-28;CE-Junky Yard;Parkway Village
5279128;2021-05-27;JUNKY YARD TRASH EVERYWHERE;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Weeds Occupied Property;Parkway Village
6085462;2023-02-28;Junky back yard with vines growing on south and east sides of house.;Inspection-Junky Yard;Closed Void;2023-05-17;CE-Junky Yard;Parkway Village
5446768;2021-09-23;DUMPING TRASH , GUTTING OUT THE HOUSE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-11-01;CE-Junky Yard;Parkway Village
5708522;2022-05-19;Weeds Occupied House;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-21;CE-Weeds Occupied Property;Parkway Village
4719882;2020-06-27;Corner house - junk behind the fence & also on the other side of the house in the back;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-12;CE-Junky Yard;Parkway Village
5098784;2021-03-17;INOPERABLE VEHICLE, PARKING ON YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-05;CE-Junky Yard;Parkway Village
5088796;2021-03-10;High grass and weed in front and back yard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-07;CE-Weeds Occupied Property;Parkway Village
5651494;2022-04-16;COURT DATE 12/14/2022 @ 9:00AM. Back yard  inoperable vehicles, Junky carport --24 hr flee market being run here ---Repeat;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-11-09;CE-Junky Yard;Parkway Village
5034662;2021-01-11;PARKING ON GRASS;Inspection-Junky Yard;Closed Void;2021-04-25;CE-Junky Yard;Parkway Village
5765100;2022-06-27;CE-Junky Yard;Inspection-Junky Yard;V.O. Yard/Vehicle;2022-07-12;CE-Junky Yard;Parkway Village
4521412;2020-01-24;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-06;CE-Junky Yard;Parkway Village
5222322;2021-04-22;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-28;CE-Junky Yard;Parkway Village
4949188;2020-11-24;Parkig in yard,trailers, junky yard;Inspection-Junky Yard;Closed, Other;2021-04-13;CE-Junky Yard;Parkway Village
5544676;2022-01-06;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-20;CE-Junky Yard;Parkway Village
5034654;2021-01-11;REMOVE ALL TRASH, DEBRIS AND CHATTLE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-28;CE-Junky Yard;Parkway Village
5931758;2022-10-11;COURT DATE 5/26/2023 @ 9:00AM. CE-Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-04-28;CE-Junky Yard;Parkway Village
5013260;2020-12-31;front yard awful junky--eyesorer;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-01;CE-Junky Yard;Parkway Village
5013294;2020-12-31;Backyard  junk & disabled  inoperable vehicles in the backyard & some on the grass /-;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-16;CE-Junky Yard;Parkway Village
4864082;2020-09-28;REMOVE ALL EXTERIOR DEBRIS AND CHATTEL INCLUDING ALL INOPERABLE VEHICLES FROM THE PROPERTY;Inspection-Junky Yard;Closed Void;2021-04-09;CE-Junky Yard;Parkway Village
4994504;2020-12-22;Open storage and tires in back yard.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-13;CE-Junky Yard;Parkway Village
5689326;2022-05-06;Grass need cuttinng and fence needs repairing;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-05;CE-Weeds Occupied Property;Parkway Village
4787338;2020-08-07;High grass and weeds. Trash, rubbish, and debris.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-22;CE-Weeds Occupied Property;Parkway Village
6130090;2023-03-28;Dismissed (Posting) on 12/01/2023. BACK YARD HIGH GRASS AND WEEDS CAUSING RODENTS;Weeds;Case dismissed         Need further discussion;2023-06-07;CE-Weeds Occupied Property;Parkway Village
5069472;2021-02-22;WEEDS IN REAR OF PROPERTY;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-14;CE-Junky Yard;Parkway Village
5036728;2021-01-13;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Parkway Village
5702820;2022-05-16;occupied property - high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-11-01;CE-Weeds Occupied Property;Parkway Village
5098836;2021-03-17;JUNKY YARD TIRES;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-15;CE-Junky Yard;Parkway Village
5763164;2022-06-24;Dismissed on 8/18/2023. backyard need cut;Weeds;Case dismissed         Need further discussion;2023-03-29;CE-Weeds Occupied Property;Parkway Village
5099144;2021-03-17;INOPERABLE VEHICLES / PARKED GRASS;Inspection-Junky Yard;Justified, Active already file;2022-02-28;CE-Junky Yard;Parkway Village
5222294;2021-04-22;HIGH GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-22;CE-Weeds Occupied Property;Parkway Village
5355876;2021-07-21;Court date 11/4/2022 @ 9:00am. occup property high grass and weeds/ front and back yard;Weeds;Case dismissed         Need further discussion;2022-09-30;CE-Weeds Occupied Property;Parkway Village
5180376;2021-04-08;junky yard , parking on yard;Inspection-Junky Yard;Closed Void;2021-07-12;CE-Junky Yard;Parkway Village
5099082;2021-03-17;JUNKY CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Junky Yard;Parkway Village
5151552;2021-04-06;JUNKY YARD and PARKING ON GRASS;Inspection-Junky Yard;Closed Void;2021-07-15;CE-Junky Yard;Parkway Village
5932464;2022-10-12;COURT DATE 5/24/2023 @ 9:00AM. Junky front yard and under carport.;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-04-26;CE-Junky Yard;Parkway Village
5435132;2021-09-15;trash and other debris all around home, cars parked in yard, property is not kept clean outside;Inspection-Junky Yard;Closed Void;2022-01-17;CE-Junky Yard;Parkway Village
5099124;2021-03-17;INOPERABLE VEHICLES AND PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Junky Yard;Parkway Village
4796260;2020-08-13;junky yard;Inspection-Junky Yard;Closed Void;2021-02-16;CE-Junky Yard;Parkway Village
5011168;2020-12-31;Extreme junkyard with open storage, chattels, autos, rubbish,  debris, trash and trailer on grass in both yards.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-04;CE-Junky Yard;Parkway Village
5099190;2021-03-17;TRAILER PARKED ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-10;CE-Junky Yard;Parkway Village
5753920;2022-06-17;JUNKY CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-03;CE-Junky Yard;Parkway Village
5020352;2021-01-04;Junky yard and debris.;Inspection-Junky Yard;Closed, Other;2021-04-21;CE-Junky Yard;Parkway Village
5099086;2021-03-17;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-20;CE-Junky Yard;Parkway Village
4710434;2020-06-23;Backyard vegetation- remove the heavy vegetation, vines, bushes , shrubs, jungle etc from the backyard due to critters & snakes;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-20;CE-Junky Yard;Parkway Village
4939966;2020-11-19;Extreme junkyard, inoperable vehicles, open storage, chattels in backyard.;Inspection-Junky Yard;Closed Void;2021-03-01;CE-Junky Yard;Parkway Village
5765458;2022-06-27;BACKYARD HAS HIGH GRASS AND OVERGROWN TREES;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-06;CE-Weeds Occupied Property;Parkway Village
5758056;2022-06-22;COURT DATE 11/30/2022 @ 9:00AM. Junky front and back yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-11-09;CE-Junky Yard;Parkway Village
4869380;2020-10-02;Court date set for 7/30/2021 @ 9:00am Excessive Junk and debris at this house;Inspection-Junky Yard;Case dismissed         Need further discussion;2021-07-30;CE-Junky Yard;Parkway Village
5510228;2021-11-27;junk in yard, trash ,cars and trucks;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-03-02;CE-Junky Yard;Parkway Village
5714168;2022-05-24;COURT DATE 10/13/2022 @ 1:30PM. OCCUPIED HOUSE WITH HIGH GRASS.;Weeds;Case dismissed         Need further discussion;2022-10-12;CE-Weeds Occupied Property;Parkway Village
5383514;2021-08-09;COURT DATE 12-10-2021 @ 9:00AM. Weeds Occupied House;Weeds;Case dismissed         Need further discussion;2021-11-01;CE-Weeds Occupied Property;Parkway Village
5204596;2021-04-13;High grass and weeds in both yards. Mailbox down at curbside.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-21;CE-Weeds Occupied Property;Parkway Village
5546026;2022-01-07;Paint buckets,  trash, and debris in backyard and open storage on front porch. Ladders on top of northwest corner fence in backyard.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-17;CE-Junky Yard;Parkway Village
5506598;2021-11-22;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-03-11;CE-Junky Yard;Parkway Village
5985020;2022-12-06;COURT DATE 5/26/2023 @ 9:00AM. Trashy property under the carport;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-04-28;CE-Junky Yard;Parkway Village
