service_request_number;reported_date;parcel_id;parid_key;location;standardized_address;service_request_summary;category;service_request_status;resolution_code;definition;follow_up_date;service_request_type;target_block;area;postal_code;lat;lon;last_edited_date;vacant;geopoint;neighborhood
5773394;2022-07-01;093417 C00017;0934170C000170;3625 TULIP TREE COVE;3625 Tulip Tree Cv, Memphis, Tennessee, 38115;CE-Weeds Occupied Property;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-15;CE-Weeds Occupied Property;199.0;04-005;38115.0;35.04992574;-89.87646726;2023-01-19;N;35.04992574, -89.87646726;Hickory Hill
5125664;2021-03-30;013043  00030;01304300000300;950 WILLOUGHBY ST;950 Willoughby St, Memphis, Tennessee, 38126;OVER GROWN GRASS;Weeds;Closed;NJ;Case not justified;2021-04-06;CE-Weeds Occupied Property;93.0;06-001;38126.0;35.12124468;-90.04809359;2022-02-23;;35.12124468, -90.04809359;Unknown
5311282;2021-06-18;087023  00002;08702300000020;5281 STEUBEN DR;5281 Steuben Dr, Memphis, Tennessee, 38134;OCH HIGH GRASS/WEEDS IN BACKYARD;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-24;CE-Weeds Occupied Property;23.0;01-002;38134.0;35.2190029;-89.88732075;2022-04-28;N;35.2190029, -89.88732075;Unknown
5716326;2022-05-25;059064  00004;05906400000040;3165 LARKSPUR DR;3165 Larkspur Dr, Memphis, Tennessee, 38111;junky back yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-03-01;CE-Junky Yard;113.0;04-003;38111.0;35.10217536;-89.95705343;2023-02-28;N;35.10217536, -89.95705343;Orange Mound
5775708;2022-07-05;093417 F00108;0934170F001080;5437 JASMINE COVE;5437 Jasmine Cv, Memphis, Tennessee, 38115;SQT203- Vehicle Violation;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-19;CE-Junky Yard;203.0;03-004;38115.0;35.04491547;-89.88232244;2023-01-19;N;35.04491547, -89.88232244;Hickory Hill
5454462;2021-09-29;085002  00036;08500200000360;4182 SEVELLA RD;4182 Sevella Rd, Memphis, Tennessee, 38128;INOPERABLE VEICHLE AND JUNKY YARD;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-21;CE-Junky Yard;19.0;01-002;38128.0;35.2189477;-89.92393834;2022-09-01;N;35.2189477, -89.92393834;Raleigh
4851948;2020-09-17;058100  00020C;0581000000020C;4079 ELLISTON RD;4079 Elliston Rd, Memphis, Tennessee, 38111;REMOVE ALL EXTERIOR DEBRIS & CHATTEL AND CUT HIGH GRASS & WEEDS AT THE PROPERTY;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-19;CE-Junky Yard;152.0;04-005;38111.0;35.08443055;-89.92602076;2022-02-23;N;35.08443055, -89.92602076;Unknown
5637178;2022-04-05;043059  00041;04305900000410;3386 CICALLA AVE;3386 Cicalla Ave, Memphis, Tennessee, 38122;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-04-23;CE-Junky Yard;46.0;07-006;38122.0;35.16466768;-89.94772689;2022-04-13;N;35.16466768, -89.94772689;Unknown
5771352;2022-06-30;026045  00038;02604500000380;1410GREENWOOD;1410 Greenwood St, Memphis, Tennessee, 38106;Vacant lot high weeds grass;Inspection-Vacant Violation;Closed;JA;Justified, Active already file;2022-07-14;CE-Vacant Lot Code Violation;118.0;04-002;38106.0;35.10809315;-90.02416351;2022-07-06;;35.10809315, -90.02416351;Bunker Hill
5693460;2022-05-10;079018  00011;07901800000110;1945 GROVEHAVEN DR;1945 Grovehaven Dr, Memphis, Tennessee, 38116;high grass and weeds;Weeds;Closed;JA;Justified, Active already file;2022-08-09;CE-Weeds Occupied Property;185.0;03-001;38116.0;35.02896479;-89.99898512;2023-01-19;N;35.02896479, -89.99898512;Unknown
5318964;2021-06-24;090041  00004;09004100000040;3833 EMERSON AVE;3833 Emerson Ave, Memphis, Tennessee, 38128;OCCUPIED PROPERTY - HIGH GRASS AND WEEDS BACK YARD;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-14;CE-Weeds Occupied Property;15.0;01-001;38128.0;35.24116583;-89.93570503;2022-02-23;N;35.24116583, -89.93570503;Egypt
5722244;2022-05-31;096511 F00075;0965110F000750;1969 OAK SPRINGS DR;1969 Oak Springs Dr, Memphis, Tennessee, 38016;high weeds and grass front, back and side;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-13;CE-Weeds Occupied Property;224.0;02-001;38016.0;35.17922146;-89.76556936;2022-07-29;N;35.17922146, -89.76556936;Unknown
5903068;2022-09-16;071009  00040;07100900000400;3956 BALFOUR ST;3956 Balfour St, Memphis, Tennessee, 38127;COURT DATE 7/07/2023 @ 9:00AM. Backyard near rear property line junk & Inoperable vehicle on the grass. Also, inoperable vehicle in driveway & blocking sidewalk /;Inspection-Junky Yard;Closed;CTCNT;Court case continued;2023-05-26;CE-Junky Yard;1.0;07-001;38127.0;35.23344511;-90.00286599;2024-03-13;N;35.23344511, -90.00286599;Unknown
5663686;2022-04-25;036005  00024;03600500000240;1474 FAXON AVE;1474 Faxon Ave, Memphis, Tennessee, 38104;OVERGROWN REVERSE FRONTAGE;Weeds;Closed;CVOID;Closed Void;2022-08-27;CE-Weeds Occupied Property;57.0;07-005;38112.0;35.15499938;-90.00939541;2022-10-08;N;35.15499938, -90.00939541;Crosstown
5453426;2021-09-29;090060  00023;09006000000230;3980 MCWEENY AVE;3980 McWeeny Ave, Memphis, Tennessee, 38128;HIGH GRASS;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-13;CE-Weeds Occupied Property;17.0;01-001;38128.0;35.23365285;-89.93087599;2022-02-23;N;35.23365285, -89.93087599;Egypt
5521090;2021-12-09;086003  00019;08600300000190;3694 BATTLEFIELD COVE;3694 Battlefield Cv, Memphis, Tennessee, 38128;junky property with debris in trash in backyard causing rodents;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-24;CE-Junky Yard;17.0;01-001;38128.0;35.22630143;-89.92664418;2022-02-23;N;35.22630143, -89.92664418;Unknown
5637636;2022-04-06;096507 A00034;0965070A000340;1623 DEXTER LN;1623 Dexter Ln, Memphis, Tennessee, 38016;Weeds Occupied House;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-04-21;CE-Weeds Occupied Property;225.0;02-001;38016.0;35.16955013;-89.78055386;2022-05-02;N;35.16955013, -89.78055386;Unknown
5533532;2021-12-22;076143  00003;07614300000030;;37 W Holmes Rd, Memphis, Tennessee, 38109;CE-Junky Yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-31;CE-Junky Yard;175.0;06-005;38109.0;35.00548352;-90.06492758;2022-04-22;;35.00548352, -90.06492758;Acklena
5766914;2022-06-28;078028  00050;07802800000500;3651 BIG BEND DR;3651 W Big Bend Dr, Memphis, Tennessee, 38116;Grass need to be cut;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-12;CE-Weeds Occupied Property;186.0;03-001;38116.0;35.04899265;-90.00032679;2023-01-19;N;35.04899265, -90.00032679;Unknown
6109926;2023-03-14;058169  00038;05816900000380;4249 BARR AVE;4249 Barr Ave, Memphis, Tennessee, 38111;CE-Junky Yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-06;CE-Junky Yard;152.0;04-005;38111.0;35.08137079;-89.92047526;2023-05-06;N;35.08137079, -89.92047526;Unknown
5117988;2021-03-26;053052  00002;05305200000020;4117 GREY RD;4117 Grey Rd, Memphis, Tennessee, 38108;Backyard  inoperable vehicles & junk till rear property line  Inspectors are required to get out their cars to confirm violations .-;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;44.0;01-003;38108.0;35.17247548;-89.92345739;2024-02-03;N;35.17247548, -89.92345739;Unknown
5305078;2021-06-15;088030 B00001;0880300B000010;5211 KIMBARK WOODS DR;5211 Kimbark Woods Dr, Memphis, Tennessee, 38134;occ house high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Weeds Occupied Property;26.0;01-002;38134.0;35.19259077;-89.88951963;2022-02-23;N;35.19259077, -89.88951963;Unknown
5775822;2022-07-05;073038  00008;07303800000080;4239 PIDGEON ROOST RD;4239 Pidgeon Roost Rd, Memphis, Tennessee, 38118;Abandoned light blue stripped down auto on fenced and gated lot.;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-19;CE-Junky Yard;211.0;03-003;38118.0;35.04699836;-89.92244807;2023-01-19;N;35.04699836, -89.92244807;Unknown
5261666;2021-05-17;085007 D00010;0850070D000100;3394 LESCHALLAS DR;3394 Leschallas Dr, Memphis, Tennessee, 38128;Occupied home tall grass in the front yard;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-16;CE-Weeds Occupied Property;19.0;01-002;38128.0;35.21834741;-89.91894709;2022-02-23;N;35.21834741, -89.91894709;Raleigh
6009670;2022-12-27;076114  00007;07611400000070;4958 SHAYNE LN;4958 Shayne Ln, Memphis, Tennessee, 38109;In Compliance with a court order as of 2/16/2024 @ 9:00AM. junk in front yard;Inspection-Junky Yard;Closed;DISM;Case dismissed         Need further discussion;2023-06-16;CE-Junky Yard;176.0;06-005;38109.0;35.01349256;-90.04348401;2024-03-18;N;35.01349256, -90.04348401;Whitehaven
5460874;2021-10-05;060208  00044;06020800000440;4038 BISHOPS BRIDGE RD;4038 Bishops Bridge Rd, Memphis, Tennessee, 38118;property with debris and trash causing rodents and foul odors;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-20;CE-Junky Yard;190.0;03-002;38118.0;35.03835825;-89.95854823;2022-02-23;N;35.03835825, -89.95854823;Unknown
5332292;2021-07-06;072104  00038;07210400000380;2704 FRAYSER BLVD;2704 Frayser Blvd, Memphis, Tennessee, 38127;Right of weeds are overgrown right of weeds in front of Dollar General reverse frontage;Weeds;Closed;NJ;Case not justified;2021-08-21;CE-Weeds Occupied Property;4.0;07-001;38127.0;35.22189472;-89.9734641;2022-02-23;N;35.22189472, -89.9734641;Unknown
4918110;2020-11-06;050007  00025;05000700000250;228 HOLLAND AVE;228 Holland Ave, Memphis, Tennessee, 38109;OPEN STORAGE OF WOOD AND BUILDING MATERIAL UNDER CARPORT, OVERGROWTH OF SHRUBBERY AND TREES;Inspection-Junky Yard;Closed;CVOID;Closed Void;2021-01-28;CE-Junky Yard;129.0;06-004;38109.0;35.09282362;-90.07038896;2022-02-23;N;35.09282362, -90.07038896;Mallory
6008608;2022-12-22;042005  00044;04200500000440;1594 MAPLEWOOD ST;1594 Maplewood St, Memphis, Tennessee, 38108;In Compliance (Court Order) on 11/17/2023. Junky YARD;Inspection-Junky Yard;Closed;DISM;Case dismissed         Need further discussion;2023-05-26;CE-Junky Yard;39.0;07-005;38108.0;35.17966992;-89.97844356;2024-03-06;N;35.17966992, -89.97844356;Hollywood
5451978;2021-09-28;060007  00014;06000700000140;1261 E MALLORY AVE;1261 E Mallory Ave, Memphis, Tennessee, 38106;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-13;CE-Weeds Occupied Property;135.0;06-003;38106.0;35.08531404;-90.02088437;2024-02-03;N;35.08531404, -90.02088437;Unknown
5320568;2021-06-25;095317 I00064;0953170I000640;6694 ELMORE RD;6694 Elmore Rd, Memphis, Tennessee, 38134;OCCUPIED UNIT WITH JUNKY YARD , HIGH GRASS AND WEEDS;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-27;CE-Junky Yard;28.0;01-003;38134.0;35.190268;-89.8401371;2022-02-23;N;35.190268, -89.8401371;Unknown
5729888;2022-06-04;043077  00002;04307700000020;3557 BAYLISS AVE;3557 Bayliss Ave, Memphis, Tennessee, 38122;Backyard near rear property line  inoperable vehicles & also blocking city alley with vehicles that are down the side & back of some houses /;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-12;CE-Junky Yard;46.0;05-004;38122.0;35.17142616;-89.94165518;2022-08-02;N;35.17142616, -89.94165518;Unknown
5408750;2021-08-26;045091  00033;04509100000330;3169 JOFFRE AVE;3169 Joffre Ave, Memphis, Tennessee, 38111;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-16;CE-Weeds Occupied Property;78.0;05-003;38111.0;35.12656836;-89.9563427;2022-02-23;N;35.12656836, -89.9563427;Chickasaw Gardens
6140094;2023-04-05;070047  00007;07004700000070;1522 ROLLING HILLS AVE;1522 Rolling Hills Dr, Memphis, Tennessee, 38127;junky yard front and back yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-24;CE-Junky Yard;9.0;07-007;38127.0;35.21722932;-90.01305125;2023-12-26;N;35.21722932, -90.01305125;Frayser
5835378;2022-08-02;089017  00011;08901700000110;1333 JANE EYRE ST;1333 Jane Eyre St, Memphis, Tennessee, 38134;CE-Junky Yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-06-27;CE-Junky Yard;229.0;02-001;38134.0;35.16147841;-89.85186602;2023-06-27;N;35.16147841, -89.85186602;Unknown
5461976;2021-10-04;067021  00005;06702100000050;5087 FLAMINGO RD;5087 Flamingo Rd, Memphis, Tennessee, 38117;Weeds Occupied House;Weeds;Closed;NJ;Case not justified;2021-10-18;CE-Weeds Occupied Property;109.0;05-005;38117.0;35.09622832;-89.8922691;2022-02-23;N;35.09622832, -89.8922691;Unknown
5691126;2022-05-09;021110  00018;02111000000180;817 RANDLE ST;817 Randle St, Memphis, Tennessee, 38107;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-05;CE-Junky Yard;36.0;07-004;38107.0;35.16085149;-90.01250348;2023-09-22;N;35.16085149, -90.01250348;Speedway Terrace
5774116;2022-07-01;093417 G00044;0934170G000440;3826 CLARKE RD;3826 Clarke Rd, Memphis, Tennessee, 38115;SQ203 HIGH GRASS;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-30;CE-Weeds Occupied Property;203.0;03-004;38115.0;35.04430667;-89.8753291;2023-01-19;N;35.04430667, -89.8753291;Hickory Hill
5130656;2021-03-31;035069  00010;03506900000100;1537 MONSARRAT ST;1537 Monsarrat St, Memphis, Tennessee, 38109;JUNKY YARD, INOPERABLE VEHICLE, TRAILERS ON GRASS;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-14;CE-Junky Yard;127.0;06-004;38109.0;35.1056017;-90.0664868;2022-02-23;N;35.1056017, -90.0664868;Mallory
5507608;2021-11-23;058086  00002;05808600000020;3707 DUNN AVE;3707 Dunn Rd, Memphis, Tennessee, 38111;Junky YARD, Tree debris scattered into adjacent property;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-12;CE-Junky Yard;148.0;04-004;38111.0;35.09006013;-89.93895461;2022-03-25;N;35.09006013, -89.93895461;Unknown
5755452;2022-06-21;081035  00034;08103500000340;2358 RIDGEWAY RD;2358 Ridgeway Rd, Memphis, Tennessee, 38119;grass needs to be cut causing rodents;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-16;CE-Weeds Occupied Property;215.0;02-002;38119.0;35.08457173;-89.85838798;2022-08-16;N;35.08457173, -89.85838798;Unknown
4659608;2020-05-21;059011  00107;05901100001070;1672 PENDLETON ST;1672 Pendleton St, Memphis, Tennessee, 38114;junky in the backyard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-14;CE-Junky Yard;142.0;04-007;38114.0;35.09928218;-89.96954488;2022-02-23;N;35.09928218, -89.96954488;Orange Mound
5303638;2021-06-14;045112  00003;04511200000030;3267 CARNES AVE;3267 Carnes Ave, Memphis, Tennessee, 38111;Occupied property with tall grass in the back.;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-22;CE-Weeds Occupied Property;104.0;05-003;38111.0;35.11139923;-89.95345486;2024-02-03;N;35.11139923, -89.95345486;Orange Mound
5097556;2021-03-16;077073  00006;07707300000060;913 PALMER RD;913 Palmer Rd, Memphis, Tennessee, 38116;trash and clothes all over property.  Porch also is full of trash;Inspection-Junky Yard;Closed;CVOM;Incompliance violation order - Miscellaneous;2021-04-10;CE-Junky Yard;177.0;03-001;38116.0;35.01197506;-90.03350186;2022-02-23;N;35.01197506, -90.03350186;Unknown
5449164;2021-09-25;075145  00058;07514500000580;4316 WANATAH ST;4316 Wanatah St, Memphis, Tennessee, 38109;Illegally Storing of Vehicles, Parked in Grass and Weeds.;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-11;CE-Junky Yard;163.0;06-002;38109.0;35.03075985;-90.08536076;2022-02-23;N;35.03075985, -90.08536076;Westwood
5663678;2022-04-25;036005  00022;03600500000220;1490 FAXON AVE;1490 Faxon Ave, Memphis, Tennessee, 38104;OVERGROWN REVERSE FRONTAGE;Weeds;Closed;CVOID;Closed Void;2022-08-27;CE-Weeds Occupied Property;57.0;07-005;38112.0;35.15500373;-90.00905488;2022-10-08;N;35.15500373, -90.00905488;Crosstown
5319880;2021-06-24;038039  00040;03803900000400;3401 BOWEN AVE;3401 Bowen Ave, Memphis, Tennessee, 38122;junky backyard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-15;CE-Junky Yard;52.0;05-002;38122.0;35.15304671;-89.94750436;2022-02-23;N;35.15304671, -89.94750436;Unknown
5542122;2022-01-04;045035  00014;04503500000140;2920 SPOTTSWOOD AVE;2920 Spottswood Ave, Memphis, Tennessee, 38111;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-04;CE-Junky Yard;103.0;04-003;38111.0;35.11375724;-89.965049;2022-02-23;N;35.11375724, -89.965049;Buntyn
5140556;2021-04-02;058083  00008;05808300000080;1537 STRIBLING ST;1537 Stribling St, Memphis, Tennessee, 38111;Backyard junk with inoperable vehicles on grass All backyard violations are required by job description  to be confirmed by inspectors thus getting out of cars or court order  .;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-16;CE-Junky Yard;;04-004;38111.0;35.08966668;-89.93272155;2022-02-23;N;35.08966668, -89.93272155;Unknown
4835990;2020-09-03;075048  00024;07504800000240;3216 WINSLOW RD;3216 Winslow Rd, Memphis, Tennessee, 38109;Junkyard/ Parking on grass.;Inspection-Junky Yard;Closed;CVOID;Closed Void;2021-01-28;CE-Junky Yard;155.0;06-003;38109.0;35.06099685;-90.07753385;2022-02-23;Y;35.06099685, -90.07753385;Unknown
5112224;2021-03-23;053022  00014;05302200000140;1276 QUEENSBURY CIR;1276 Queensbury Cir, Memphis, Tennessee, 38122;inoperable vehicle;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-26;CE-Junky Yard;46.0;05-004;38122.0;35.16654229;-89.92809969;2022-02-23;N;35.16654229, -89.92809969;Unknown
5750998;2022-06-16;075220  00002;07522000000020;503 DELTA RD;503 Delta Rd, Memphis, Tennessee, 38109;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-25;CE-Junky Yard;173.0;06-002;38109.0;35.01776311;-90.08083692;2022-08-25;N;35.01776311, -90.08083692;Unknown
5409538;2021-08-26;031130  00018;03113000000180;2054 EVELYN AVE;2054 Evelyn Ave, Memphis, Tennessee, 38104;High Grass -S.H.C.;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-28;CE-Weeds Occupied Property;82.0;04-006;38114.0;35.12310838;-89.99370573;2022-02-23;N;35.12310838, -89.99370573;Lenox
5340156;2021-07-12;095317 W00026;0953170W000260;7064 DANEMAN DR;7064 Daneman Dr, Memphis, Tennessee, 38133;Right of Way Weeds overgrown grass and weeds both sides of CHARLES BRYAN ST @ DANEMAN DR;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-11-22;CE-Weeds Occupied Property;231.0;01-003;38133.0;35.18117008;-89.82858501;2022-02-23;N;35.18117008, -89.82858501;Unknown
5633982;2022-04-01;072003  00036;07200300000360;1959 BURNHAM AVE;1959 Burnham Ave, Memphis, Tennessee, 38127;junky yard;Inspection-Junky Yard;Back to MCSC;BACK TO MCSC;Back To MCSC;2022-04-16;CE-Junky Yard;6.0;07-007;38127.0;35.22602069;-89.99830363;2022-10-05;N;35.22602069, -89.99830363;Frayser
5115698;2021-03-25;082021  00019;08202100000190;4110 MAUMEE ST;4110 Maumee St, Memphis, Tennessee, 38109;junkie yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-12;CE-Junky Yard;162.0;06-002;38109.0;35.03661496;-90.10450429;2022-02-23;N;35.03661496, -90.10450429;Unknown
6135730;2023-03-31;070044 00001;07004400000010;1473 PAULLUS AV;1473 Paullus Ave, Memphis, Tennessee, 38127;Trash and debris front;Inspection-Junky Yard;Closed;CVOAR;Incompliance Violation order to move auto - Auto removed;2023-04-17;CE-Junky Yard;9.0;07-007;38127.0;35.21581949;-90.01474762;2023-08-29;N;35.21581949, -90.01474762;Frayser
5136704;2021-04-01;054038  00039;05403800000390;734 WARING RD;4360 Tutwiler Ave, Memphis, Tennessee, 38122;INOPERABLE VEHICLE AND PARKING ON GRASS;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-22;CE-Junky Yard;49.0;05-004;38122.0;35.15157652;-89.91555924;2022-02-23;N;35.15157652, -89.91555924;Berclair
5461898;2021-10-06;044013  00029;04401300000290;3204 WALNUT GROVE RD;3204 Walnut Grove Rd, Memphis, Tennessee, 38111;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-11-22;CE-Weeds Occupied Property;65.0;05-002;38111.0;35.13387978;-89.9548676;2022-02-23;N;35.13387978, -89.9548676;Chickasaw Gardens
