service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
5127702;2021-03-30;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-14;CE-Junky Yard;Frayser
5127632;2021-03-30;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-20;CE-Junky Yard;Frayser
5127676;2021-03-30;CE-Junky Yard;Inspection-Junky Yard;Justified, Active already file;2021-04-06;CE-Junky Yard;Frayser
5127426;2021-03-30;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-30;CE-Junky Yard;Frayser
5132460;2021-03-31;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-14;CE-Junky Yard;Frayser
5137164;2021-04-01;FRONT YARD IS SURROUNDED WITH TRASH. SIDEWALK  ALSO HAVE TRASH. PLEASE TALK TO THE TENANTS AT THIS PLACE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-15;CE-Junky Yard;Frayser
5136572;2021-04-01;Trash and furniture in frontof this home;Inspection-Junky Yard;Back To MCSC;2021-04-08;CE-Junky Yard;Frayser
5221758;2021-04-22;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-15;CE-Junky Yard;Frayser
5246756;2021-05-07;Residents at 1567 Rolling Hills Dr. have dangerous overgrowth.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-28;CE-Weeds Occupied Property;Frayser
5247258;2021-05-07;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-22;CE-Junky Yard;Frayser
5270078;2021-05-21;VEHICLES PARKED IN GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-08-04;CE-Junky Yard;Frayser
5270738;2021-05-22;high grass and weeds;Weeds;Please see Resolution Summary;2021-07-16;CE-Weeds Occupied Property;Frayser
5270854;2021-05-22;VIOLATION FOR JUNKY YARD/ INOPERABLE VEHICLES;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Junky Yard;Frayser
5270714;2021-05-22;CE-Weeds Occupied Property;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-28;CE-Weeds Occupied Property;Frayser
5270914;2021-05-22;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-22;CE-Junky Yard;Frayser
5270618;2021-05-22;CE-Weeds Occupied Property;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-14;CE-Weeds Occupied Property;Frayser
5270748;2021-05-22;INOPERABLE VEHICLES  IN YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-22;CE-Junky Yard;Frayser
5291556;2021-06-06;Backyard junk & inoperable vehicle;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Junky Yard;Frayser
5291546;2021-06-06;Backyard junk;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-09-24;CE-Junky Yard;Frayser
5293216;2021-06-07;Occupied, high grass;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-14;CE-Weeds Occupied Property;Frayser
5296358;2021-06-09;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-07;CE-Junky Yard;Frayser
5306544;2021-06-16;occupied property with high grass front and backyard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Weeds Occupied Property;Frayser
5309034;2021-06-17;occupied property with high grass and weeds front and back;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-15;CE-Weeds Occupied Property;Frayser
5313768;2021-06-21;occupied property - high grass and weeds in back yard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-06;CE-Weeds Occupied Property;Frayser
5320382;2021-06-25;The property has garbage all over it, appliances out side, over grown bushes and is a eye sore to the area;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-13;CE-Junky Yard;Frayser
5322560;2021-06-26;Weeds Occupied House;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Weeds Occupied Property;Frayser
5326418;2021-06-29;overgrowth weeds/grass alley side reverse frontage;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-08-07;CE-Weeds Occupied Property;Frayser
5325718;2021-06-29;Back yard junk. Can't be seen from the street.;Inspection-Junky Yard;Case not justified;2021-07-06;CE-Junky Yard;Frayser
5326822;2021-06-30;OVER GROWN WEED AND TREE LIMBS;Weeds;Case not justified;2021-07-07;CE-Weeds Occupied Property;Frayser
5332448;2021-07-06;OCH HIGH GRASS/WEEDS IN BACKYARD GROWING OVER PROPERTY AT 3311 DENVER;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-21;CE-Weeds Occupied Property;Frayser
5337754;2021-07-09;Backyard with junk & inoperable vehicles;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-12;CE-Junky Yard;Frayser
5391790;2021-08-16;PARKING ON THE GRASS / TOYOTA TRUCK;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-06;CE-Junky Yard;Frayser
5394098;2021-08-17;VIOLATION FOR JUNKY YARD/ 18 WHEELER;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-17;CE-Junky Yard;Frayser
5397686;2021-08-19;OVERGROWN SHRUBBERY, GRASS, DYING TREES BEHIND FENCE- DO NOT CLOSE EMAIL COMPLAINT UNTIL COMPLIANCE;Weeds;Closed Void;2021-10-16;CE-Weeds Occupied Property;Frayser
5410068;2021-08-27;occupied property with high grass front and backyard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-28;CE-Weeds Occupied Property;Frayser
5437278;2021-09-16;OCCUPIED PROPERTY HAS HIGH GRASS AND A JUNKY YARD;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-09;CE-Weeds Occupied Property;Frayser
5441806;2021-09-20;OCH HIGH GRASS IN FT/BK. Inoperable white car parked on the grass.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-12;CE-Weeds Occupied Property;Frayser
5446384;2021-09-23;Weeds Occupied House;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-07;CE-Weeds Occupied Property;Frayser
5447170;2021-09-23;CE-Weeds Occupied Property;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-07;CE-Weeds Occupied Property;Frayser
5450782;2021-09-27;CITIZEN STATES THE BACK YARD HEDGES ARE GROWN OUT AND BLOCKING THE VIEW OF TRAFFIC ON ALTA VISTA AND LOOKOUT;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-28;CE-Weeds Occupied Property;Frayser
5453972;2021-09-29;CE-Weeds Occupied Property;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-13;CE-Weeds Occupied Property;Frayser
5461446;2021-10-06;high grass and weed occupied;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-20;CE-Weeds Occupied Property;Frayser
5498194;2021-11-12;Backyard near rear property line  inoperable vehicles on the grass & junk /;Inspection-Junky Yard;Closed, Other;2022-03-09;CE-Junky Yard;Frayser
5498316;2021-11-12;Backyard near rear property line  junk & Inoperable vehicles on the grass;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-17;CE-Junky Yard;Frayser
5498232;2021-11-12;Backyard near rear property line  junk /;Inspection-Junky Yard;Closed, Other;2022-02-08;CE-Junky Yard;Frayser
5498226;2021-11-12;Backyard near rear property line  junk /;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-22;CE-Junky Yard;Frayser
5498230;2021-11-12;Backyard near rear property line  junk & inoperable vehicles on grass /;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-11;CE-Junky Yard;Frayser
5507886;2021-11-23;This property has a lot of trees and bushes behind it that are overgrown and intruding onto the property it backs up to, at 3840 Denver. The overgrown trees and weeds are damaging the fence in the backyard of 3840 Denver.;Weeds;Case not justified;2022-01-26;CE-Weeds Occupied Property;Frayser
5532444;2021-12-21;DOWN TREE ON TOP OF GARAGE AND DAMAGING NEIGHBORS FENCE;Inspection-Junky Yard;Closed, Other;2022-01-10;CE-Junky Yard;Frayser
5613566;2022-03-17;FRONT YARD AND SIDE YARD  IS SURROUNDED WITH TRASH;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-04-06;CE-Junky Yard;Frayser
5629568;2022-03-29;VACANT PROPERTY WITH JUNKY CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-11;CE-Junky Yard;Frayser
5631736;2022-03-31;FALLEN TREE IN BACKYARD ON TOP OF GARAGE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-16;CE-Junky Yard;Frayser
5633982;2022-04-01;junky yard;Inspection-Junky Yard;Back To MCSC;2022-04-16;CE-Junky Yard;Frayser
5634176;2022-04-01;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-04-15;CE-Junky Yard;Frayser
5664290;2022-04-25;483 & 1493 Frayser share a bush/ hedge that protrudes into the path of pedestrians using the sidewalk & is a safety violation  ..;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-11;CE-Weeds Occupied Property;Frayser
5678212;2022-04-29;high weeds and grass;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-13;CE-Weeds Occupied Property;Frayser
5678224;2022-04-29;high weeds and grass junky yard;Weeds;Closed Void;2022-07-12;CE-Weeds Occupied Property;Frayser
5776390;2022-07-05;OVERGROWN GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-20;CE-Weeds Occupied Property;Frayser
5777228;2022-07-06;high grass and weeds occuiped house;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-20;CE-Weeds Occupied Property;Frayser
5825146;2022-07-26;COURT DATE 7/21/2023 @ 9:00AM. Weeds Occupied House;Weeds;Case dismissed         Need further discussion;2023-05-18;CE-Weeds Occupied Property;Frayser
5833276;2022-08-01;COURT DATE SET FOR 6/16/2023 @ 9:00AM. 2ND REQUESTS: OCCP., BACK YARD STILL NOT CUT AS OF 08.01.22;Weeds;Case dismissed         Need further discussion;2023-05-19;CE-Weeds Occupied Property;Frayser
5845898;2022-08-09;Dismissed on  6/21/2023 @ 9:00AM. Occupied Property: APPLIANCES AND JUNKY IN BACK YARD;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-05-17;CE-Junky Yard;Frayser
5888560;2022-09-06;COURT DATE 6/7/2023 @ 9:00AM. JUNK UNDER THE CARPORT, THE GRASS IS HIGH IN THE FRONT AND BACKYARD.;Inspection-Junky Yard;Court case continued;2023-05-10;CE-Junky Yard;Frayser
5888364;2022-09-06;Dismissed (Court Order) on 8/17/2023. TALL BUSHES AND HEDGES BRANCHING OUT INTO STREET BLOCKING THE VIEW OF TRAFFIC;Weeds;Case dismissed         Need further discussion;2023-05-18;CE-Weeds Occupied Property;Frayser
5893998;2022-09-09;In Compliance (Court Order) on 8/17/2023. Junky Backyard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-05-18;CE-Junky Yard;Frayser
5965082;2022-11-12;COURT DATE 05-30-24 @ 9:00AM. Debris and trash all over the rear of property creating a hazard;Inspection-Junky Yard;Court case continued;2023-06-02;CE-Junky Yard;Frayser
6109506;2023-03-14;Court Date Set 05.31.24 @9:00am junky front and back yard;Inspection-Junky Yard;Court case continued;2023-07-20;CE-Junky Yard;Frayser
6124742;2023-03-23;JUNK, TRASH & DEBRIS ON THE FRONT YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-19;CE-Junky Yard;Frayser
6130188;2023-03-28;JUNKY FRONT YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-17;CE-Junky Yard;Frayser
6135730;2023-03-31;Trash and debris front;Inspection-Junky Yard;Incompliance Violation order to move auto - Auto removed;2023-04-17;CE-Junky Yard;Frayser
6140094;2023-04-05;junky yard front and back yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-24;CE-Junky Yard;Frayser
6143168;2023-04-10;OCCUPIED RESIDENCE: ENTIRE PROPERTY NEEDS CUTTING;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-28;CE-Weeds Occupied Property;Frayser
6143492;2023-04-10;high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-24;CE-Weeds Occupied Property;Frayser
