service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
5091554;2021-03-12;Junky yard and debris in rear of the property. Inoperable vehicles on the property.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-05;CE-Junky Yard;Orange Mound
5114360;2021-03-24;JUNKY yard rear(2nd );Inspection-Junky Yard;Closed Void;2021-04-09;CE-Junky Yard;Orange Mound
5114556;2021-03-24;VACANT PROPERTY WITH JUNKY YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-23;CE-Junky Yard;Orange Mound
5125866;2021-03-30;Over grown tree hanging over 1190 Marbro Dr damaging property;Weeds;Case not justified;2021-04-06;CE-Weeds Occupied Property;Orange Mound
5126306;2021-03-30;JUNKY YARD/INOPERABLE VEHICLE (CHRISTOPHER 901-297-5263) 2nd violation;Inspection-Junky Yard;Justified, Active already file;2022-02-02;CE-Junky Yard;Orange Mound
5133310;2021-03-31;trash and debris on property in front yard;Inspection-Junky Yard;Back To MCSC;2021-04-07;CE-Junky Yard;Orange Mound
5150528;2021-04-06;JUNKY FRONT YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-08;CE-Junky Yard;Orange Mound
5271152;2021-05-23;Weeds Occupied House;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-08-10;CE-Weeds Occupied Property;Orange Mound
5303638;2021-06-14;Occupied property with tall grass in the back.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-22;CE-Weeds Occupied Property;Orange Mound
4918008;2021-06-24;junky yard;Inspection-Junky Yard;Closed Void;2021-08-22;CE-Junky Yard;Orange Mound
5333222;2021-07-06;COURT DATE 11/04/2021 @ 1:30PM. HIGH GRASS AND JUNKY YARD;Inspection-Junky Yard;Case dismissed         Need further discussion;2021-10-07;CE-Junky Yard;Orange Mound
5353546;2021-07-20;over grown grass in the backyard and grass;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-30;CE-Weeds Occupied Property;Orange Mound
5408328;2021-08-26;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-17;CE-Junky Yard;Orange Mound
5410722;2021-08-27;High grass and weeds. Open storage.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-02;CE-Junky Yard;Orange Mound
5410806;2021-08-27;COURT DATE 9/30/2022 @ 9:00AM. Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-09-09;CE-Junky Yard;Orange Mound
5410888;2021-08-27;High grass and weeds. Open storage. Junky yards.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-26;CE-Junky Yard;Orange Mound
5410646;2021-08-27;High grass and weeds.  Open storage.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-26;CE-Weeds Occupied Property;Orange Mound
5410796;2021-08-27;High grass and weeds. Open storage.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-29;CE-Weeds Occupied Property;Orange Mound
5412572;2021-08-30;SHC High grass and weeds.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-29;CE-Weeds Occupied Property;Orange Mound
5412570;2021-08-30;High grass and weeds.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-29;CE-Weeds Occupied Property;Orange Mound
5412592;2021-08-30;High grass and weeds Front and back yards.;Weeds;Back To MCSC;2021-10-13;CE-Weeds Occupied Property;Orange Mound
5413706;2021-08-30;SHC /JUNY YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-29;CE-Junky Yard;Orange Mound
5441136;2021-09-20;TRASH IN THE FRONT YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-06;CE-Junky Yard;Orange Mound
5443598;2021-09-21;JUNKY LOT. POISON IVY;Inspection-Vacant Violation;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-06;CE-Vacant Lot Code Violation;Orange Mound
5453100;2021-09-29;junky yard, inoperable vehicles ,PARKING ON YARD;Inspection-Junky Yard;Closed Void;2022-02-19;CE-Junky Yard;Orange Mound
5458600;2021-10-04;HIGH GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-18;CE-Weeds Occupied Property;Orange Mound
5504222;2021-11-18;JUNKY PORCH AND YARD;Inspection-Junky Yard;V.O. Yard/Vehicle;2023-11-29;CE-Junky Yard;Orange Mound
5524328;2021-12-15;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-29;CE-Junky Yard;Orange Mound
5529910;2021-12-19;Backyard near rear property /junk;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-22;CE-Junky Yard;Orange Mound
5529904;2021-12-19;Backyard near rear property line  junk & Inoperable vehicles on driveway in the rear;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-03;CE-Junky Yard;Orange Mound
5529882;2021-12-19;Backyard near rear property line  junk & Inoperable vehicles;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-22;CE-Junky Yard;Orange Mound
5529896;2021-12-19;Backyard near rear property line  junk & junk & inoperable vehicles in rear driveway;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-22;CE-Junky Yard;Orange Mound
5533774;2021-12-22;Backyard near rear property line  lots of junk & an inoperable vehicle on the grass;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-28;CE-Junky Yard;Orange Mound
5538936;2021-12-30;Vh house, trash and debris in the front yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-17;CE-Junky Yard;Orange Mound
5557088;2022-01-19;JUNKY YARD AND VEHICLE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-11-09;CE-Junky Yard;Orange Mound
5596518;2022-03-02;JUNKY YARD AND VEHICLE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-11-09;CE-Junky Yard;Orange Mound
5605488;2022-03-10;COURT DATE 12/7/2022 @ 9:00AM. JUNKY BACKYARD;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-11-16;CE-Junky Yard;Orange Mound
5623080;2022-03-15;Outdoor storage junk scattered;Inspection-Junky Yard;Justified, Active already file;2022-04-08;CE-Junky Yard;Orange Mound
5621880;2022-03-23;Occupant has trash all around the exterior of the home causing rats at the neighboring houses;Inspection-Junky Yard;Closed, Other;2022-12-02;CE-Junky Yard;Orange Mound
5629052;2022-03-29;junky yard;Inspection-Junky Yard;Closed Void;2022-04-12;CE-Junky Yard;Orange Mound
5631352;2022-03-30;FURN ON SIDE OF YARD;Inspection-Junky Yard;V.O. Yard/Vehicle;2024-01-16;CE-Junky Yard;Orange Mound
5638140;2022-04-06;DAMAGE TREE;Inspection-Junky Yard;Case not justified;2022-04-20;CE-Junky Yard;Orange Mound
5660278;2022-04-21;Weeds Occupied House;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-04;CE-Weeds Occupied Property;Orange Mound
5664378;2022-04-25;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-13;CE-Junky Yard;Orange Mound
5663942;2022-04-25;junky backyard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-02-16;CE-Junky Yard;Orange Mound
5699038;2022-05-13;Citizen calling concerning the property is not maintained. Inopperable vehicles, dangerous structure, rodents.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-09-08;CE-Junky Yard;Orange Mound
5699052;2022-05-13;Dangerous structure, inopperable vehicle, rodents, property not maintained, etc. 662-543-6114 Portia is the citizen next door;Inspection-Junky Yard;Closed Void;2023-12-15;CE-Junky Yard;Orange Mound
5708980;2022-05-20;Backyard near rear property line  inoperable vehicles on the grass;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-03;CE-Weeds Occupied Property;Orange Mound
5716326;2022-05-25;junky back yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-03-01;CE-Junky Yard;Orange Mound
5748380;2022-06-15;OCCUPIEED PROPERTY - HIGH GRASS AND WEEDS /FRONT AND BACK;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-03;CE-Weeds Occupied Property;Orange Mound
5755956;2022-06-21;high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-03;CE-Weeds Occupied Property;Orange Mound
5764854;2022-06-27;JUNKY FRONT YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-11;CE-Junky Yard;Orange Mound
5765322;2022-06-27;Vacant house junky yard and high grass;Weeds;Closed Void;2022-07-11;CE-Weeds Occupied Property;Orange Mound
5767634;2022-06-28;high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-02-16;CE-Weeds Occupied Property;Orange Mound
5771792;2022-06-30;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-19;CE-Junky Yard;Orange Mound
5778446;2022-07-06;The sidewalk is blocked due to overgrowth of shrubs in this location.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-15;CE-Weeds Occupied Property;Orange Mound
5919528;2022-09-29;CE-Weeds Occupied Property;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-08-24;CE-Weeds Occupied Property;Orange Mound
5919488;2022-09-29;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-08-30;CE-Junky Yard;Orange Mound
5933510;2022-10-12;Dismissed on 9/6/2023. $50 fine x 45. Property has high grass,car parked in the front & backyard and debris is everywhere;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-05-24;CE-Junky Yard;Orange Mound
5960198;2022-11-07;OCCUPIED PROPERTY;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-01;CE-Junky Yard;Orange Mound
5967358;2022-11-15;Junky backyard. Wood and all type of debris in the yard.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-12-07;CE-Junky Yard;Orange Mound
5975010;2022-11-23;OCCUPIED PROPERTY HAS HIGH GRASS AND WEEDS. FRONT AND BACKYARD;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-09-06;CE-Weeds Occupied Property;Orange Mound
5977128;2022-11-28;junky backyard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-10-31;CE-Junky Yard;Orange Mound
5987330;2022-12-07;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-08-29;CE-Junky Yard;Orange Mound
6011332;2022-12-28;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-08-31;CE-Junky Yard;Orange Mound
6012904;2022-12-29;Front porch junk/ back porch junk;Inspection-Junky Yard;Closed Void;2023-11-17;CE-Junky Yard;Orange Mound
6016624;2023-01-03;trash, car parts all over the yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-08-24;CE-Junky Yard;Orange Mound
6076600;2023-02-21;In Compliance on 8/11/2023 (Court Order). VACANT LOT WITH TWO TRAILERS AND TRASH AND DEBRIS;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-05-26;CE-Junky Yard;Orange Mound
6126946;2023-03-24;tree fell on property;Weeds;Case not justified;2023-04-14;CE-Weeds Occupied Property;Orange Mound
6136020;2023-03-31;This property has not had power for a few months, but people 'live' there.  The yard, the porch, the driveway, the sideway, and the house are all junky, nasty, trashy, and a mess.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-08-24;CE-Junky Yard;Orange Mound
6143958;2023-04-10;Empty lot next to 1509, has numerous of cars and trees on the lot & a lot of debri 901-650-8829;Weeds;Incompliance Violation order to move auto - Auto removed;2023-08-29;CE-Weeds Occupied Property;Orange Mound
